run_id,event_index,backend_id,proof_type,proof_size_bytes,verification_time_ms,status,error_code
W1-A2-merkle-R02,8,A2-merkle,inclusion,233,0.007752,ok,
W1-A2-merkle-R02,9,A2-merkle,inclusion,303,0.014521,ok,
W1-A2-merkle-R02,10,A2-merkle,inclusion,304,0.026670,ok,
W1-A2-merkle-R02,11,A2-merkle,inclusion,373,0.012399,ok,
W1-A2-merkle-R02,12,A2-merkle,inclusion,304,0.011096,ok,
W1-A2-merkle-R02,13,A2-merkle,inclusion,373,0.021923,ok,
W1-A2-merkle-R02,14,A2-merkle,inclusion,373,0.013450,ok,
W2-A1-memory-R01,0,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R01,1,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R01,2,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R01,3,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R01,4,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R01,5,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R01,6,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R01,7,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R01,8,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R01,9,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R01,10,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R01,11,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R01,12,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R01,13,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R01,14,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R01,15,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R01,16,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R01,17,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R01,18,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R01,19,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R01,20,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R01,21,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R01,22,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R01,23,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R01,24,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R01,25,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R01,26,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R01,27,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R02,0,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R02,1,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R02,2,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R02,3,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R02,4,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R02,5,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R02,6,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R02,7,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R02,8,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R02,9,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R02,10,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R02,11,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R02,12,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R02,13,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R02,14,A1-memory,none,0,0.000000,ok,
W2-A1-memory-R02,15,A1-memory,none,0,0.000000,ok,
