run_id,event_index,workload_id,backend_id,repetition,seed,latency_ms,status,error_code,artefact_bytes,receipt_bytes,started_ns,ended_ns
W3-A1-memory-R01,1,W3,A1-memory,1,20260001,0.076015,ok,,1023,433,698245842122,698245918137
W3-A1-memory-R01,2,W3,A1-memory,1,20260001,0.070046,ok,,1023,433,698246000631,698246070677
W3-A1-memory-R01,3,W3,A1-memory,1,20260001,0.070046,ok,,1023,433,698246142455,698246212501
W3-A1-memory-R01,4,W3,A1-memory,1,20260001,0.070406,ok,,1023,433,698246284860,698246355266
W3-A1-memory-R01,5,W3,A1-memory,1,20260001,0.069175,ok,,1025,433,698246429357,698246498532
W3-A1-memory-R01,6,W3,A1-memory,1,20260001,0.068774,ok,,1023,433,698246570750,698246639524
W3-A1-memory-R01,7,W3,A1-memory,1,20260001,0.074933,ok,,1023,433,698246725684,698246800617
W3-A1-memory-R01,8,W3,A1-memory,1,20260001,0.074943,ok,,1023,433,698246893857,698246968800
W3-A1-memory-R01,9,W3,A1-memory,1,20260001,0.068483,ok,,1023,433,698247042031,698247110514
W3-A1-memory-R01,10,W3,A1-memory,1,20260001,0.067942,ok,,1025,433,698247182232,698247250174
W3-A1-memory-R01,11,W3,A1-memory,1,20260001,0.067802,ok,,1023,433,698247321973,698247389775
W3-A1-memory-R01,12,W3,A1-memory,1,20260001,0.068033,ok,,1023,433,698247467802,698247535835
W3-A1-memory-R01,13,W3,A1-memory,1,20260001,0.069274,ok,,1023,433,698247606642,698247675916
W3-A1-memory-R01,14,W3,A1-memory,1,20260001,0.085019,ok,,1023,433,698247790268,698247875287
W3-A1-memory-R01,15,W3,A1-memory,1,20260001,0.077927,ok,,1025,433,698247971101,698248049028
W3-A1-memory-R01,16,W3,A1-memory,1,20260001,0.069274,ok,,1023,433,698248124432,698248193706
W3-A1-memory-R01,17,W3,A1-memory,1,20260001,0.072990,ok,,1023,433,698248278785,698248351775
W3-A1-memory-R01,18,W3,A1-memory,1,20260001,0.069785,ok,,1023,433,698248423222,698248493007
W3-A1-memory-R01,19,W3,A1-memory,1,20260001,0.069515,ok,,1023,433,698248563774,698248633289
W3-A1-memory-R01,20,W3,A1-memory,1,20260001,0.073802,ok,,1025,433,698248716484,698248790286
W3-A1-memory-R01,21,W3,A1-memory,1,20260001,0.079620,ok,,1023,433,698248875344,698248954964
W3-A1-memory-R01,22,W3,A1-memory,1,20260001,0.075614,ok,,1023,433,698249052591,698249128205
W3-A1-memory-R01,23,W3,A1-memory,1,20260001,0.068403,ok,,1023,433,698249200754,698249269157
W3-A1-memory-R01,24,W3,A1-memory,1,20260001,0.068613,ok,,1023,433,698249339754,698249408367
W3-A1-memory-R01,25,W3,A1-memory,1,20260001,0.068353,ok,,1025,433,698249478433,698249546786
W3-A1-memory-R01,26,W3,A1-memory,1,20260001,0.067541,ok,,1023,433,698249617743,698249685284
W3-A1-memory-R01,27,W3,A1-memory,1,20260001,0.076465,ok,,1023,433,698249772376,698249848841
W3-A1-memory-R01,28,W3,A1-memory,1,20260001,0.071878,ok,,1023,433,698249934480,698250006358
W3-A1-memory-R02,0,W3,A1-memory,2,20260002,0.078639,ok,,1025,433,698250165648,698250244287
W3-A1-memory-R02,1,W3,A1-memory,2,20260002,0.071468,ok,,1023,433,698250322785,698250394253
W3-A1-memory-R02,2,W3,A1-memory,2,20260002,0.070526,ok,,1023,433,698250473132,698250543658
W3-A1-memory-R02,3,W3,A1-memory,2,20260002,0.069385,ok,,1023,433,698250615416,698250684801
W3-A1-memory-R02,4,W3,A1-memory,2,20260002,0.077497,ok,,1023,433,698250757240,698250834737
W3-A1-memory-R02,5,W3,A1-memory,2,20260002,0.083966,ok,,1025,433,698250911853,698250995819
W3-A1-memory-R02,6,W3,A1-memory,2,20260002,0.073531,ok,,1023,433,698251068649,698251142180
W3-A1-memory-R02,7,W3,A1-memory,2,20260002,0.073551,ok,,1023,433,698251228460,698251302011
W3-A1-memory-R02,8,W3,A1-memory,2,20260002,0.069124,ok,,1023,433,698251374100,698251443224
W3-A1-memory-R02,9,W3,A1-memory,2,20260002,0.067001,ok,,1023,433,698251513690,698251580691
W3-A1-memory-R02,10,W3,A1-memory,2,20260002,0.066971,ok,,1025,433,698251651187,698251718158
W3-A1-memory-R02,11,W3,A1-memory,2,20260002,0.073141,ok,,1023,433,698251796596,698251869737
W3-A1-memory-R02,12,W3,A1-memory,2,20260002,0.081433,ok,,1023,433,698251956257,698252037690
W3-A1-memory-R02,13,W3,A1-memory,2,20260002,0.070657,ok,,1023,433,698252111781,698252182438
W3-A1-memory-R02,14,W3,A1-memory,2,20260002,0.079980,ok,,1023,433,698252277191,698252357171
W3-A1-memory-R02,15,W3,A1-memory,2,20260002,0.069655,ok,,1025,433,698252431653,698252501308
W3-A1-memory-R02,16,W3,A1-memory,2,20260002,0.072689,ok,,1023,433,698252573207,698252645896
W3-A1-memory-R02,17,W3,A1-memory,2,20260002,0.070727,ok,,1023,433,698252725496,698252796223
W3-A1-memory-R02,18,W3,A1-memory,2,20260002,0.069355,ok,,1023,433,698252865978,698252935333
W3-A1-memory-R02,19,W3,A1-memory,2,20260002,0.078809,ok,,1023,433,698253018227,698253097036
W3-A1-memory-R02,20,W3,A1-memory,2,20260002,0.070566,ok,,1025,433,698253171599,698253242165
W3-A1-memory-R02,21,W3,A1-memory,2,20260002,0.077136,ok,,1023,433,698253335856,698253412992
W3-A1-memory-R02,22,W3,A1-memory,2,20260002,0.070436,ok,,1023,433,698253486724,698253557160
W3-A1-memory-R02,23,W3,A1-memory,2,20260002,0.068082,ok,,1023,433,698253628087,698253696169
